3545.58     AII(70)
3559.51     AII(70)
3718.21     AII(131) blend with 3724.51 AII(131)
3729.29     AII(10)
3737.89     AII(131)
3780.84     AII(54)
3850.57     AII(10)
3888.646    HeI
3928.62     AII(10)
3948.979    ArI *
3964.727    HeI
4026.189    HeI
4044.418    AI(4)
4072.2      blend A 4072.01 and 4072.40
4131.73     AII(32)
4158.590    AI(2)
4200.674    ArI *
4259.361    AI(9)
4277.55     AII(32) blend with AI(4) 4272.168
4300.4      AI(4) blend
4333.561    ArI *
4426.01     AII(7)
4471.477    HeI
4510.733    AI(9)
4545.08     AII(15)
4579.39     AII(17)
4657.94     AII(15)
4713.143    HeI
4764.89     AII(15)
4806.07     AII(6)
4879.90     AII(14)
4921.929    HeI
4965.12     AII(14)
5015.675    HeI
5187.746    AI
5221.270    AI
5495.872    AI(14)
5572.548    AI
